Issue ID,Integration,Taxonomy,Root Cause,Fix,Impact,Trigger,,,
42207 ,netatmo, Execution,Incorrect execution status update,Correct status processing logic.,Incorrect device state,Invoke device service,,,
42205 , panasonic viera, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
42192 ,simplisafe, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
42188 ,doorbird, Others,Asynchronous error,Waiting for synchronization.,Device unavailable,Reload device integration,,,
42139 ,BMW, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
42138 ,hue, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Invoke device service,,,
42090 ,onkyo, Execution,Incorrect execution status update,Correct status processing logic.,Incorrect device state,Invoke device service,,,
42085 ,zha, Error handling,Insufficient error handling,, ,Loading device integration,,,
42076 ,Fritzbox, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Network interruption and recovery,,,
41957 ,broadlink,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Unexpected system behavior,Invoke device service,,,
41886 ,onvif, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
41862 ,insteon, Others,Dependency conflict,Choose the appropriate third-party library version.,Device unavailable,Loading device integration,,,
41755 ,tesla, Error handling,Input verification,Check before use.,Unexpected device behavior,Invoke device service,,,
41721 ,airvisual,Initialization,Incorrect authentication establishment,Correct authentication logic.,Unexpected system behavior,Loading device integration,,,
41665 ,zha, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Unexpected system behavior,Reload device integration,,,
41576 ,picotts, Error handling,Input verification,Check before use., ,Invoke device service,,,
41570 ,xiaomi_miio,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
41564 ,knx, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Unexpected system behavior,Invoke device service,,,
41560 ,shelly,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
41507 ,yeelight, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
41416 ,synology_dsm,Initialization,Incorrect authentication establishment,Correct authentication logic.,Device unavailable,Loading device integration,,,
41258 ,maxcube, Error handling,Insufficient error handling,, ,Invoke device service,,,
41187 ,somfy, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
41140 ,kodi, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
41041 ,yandextts, Error handling,Input verification,Check before use., ,Invoke device service,,,
40985 ,broadlink, Execution,Inappropriate polling interval,Adjust the polling interval.,Incorrect device state,Invoke device service,,,
40818 ,simplisafe, Error handling,Input verification,Check before use., ,Invoke device service,,,
40814 ,zoneminder, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
40810 ,shelly, Error handling,Insufficient error handling,,Device unavailable,Network interruption and recovery,,,
40771 ,pysmartthings, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40717 ,google_assistant, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
40669 ,netatmo, Error handling,Input verification,Check before use.,Incorrect device state,Invoke device service,,,
40631 ,gogogate2, Error handling,Insufficient error handling, ,Device unavailable,Network delay,,,
40588 ,neurio, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40552 ,vesync,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Unexpected device behavior,Invoke device service,,,
40543 ,plugwise, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40529 ,dsmr, Execution,Incorrect execution status update,Correct status processing logic.,Device unavailable,Invoke device service,,,
40517 ,fitbit, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40487 , panasonic viera, Error handling,Insufficient error handling,Add retry & timeout setting.,Device unavailable,Network interruption and recovery,,,
40482 ,kodi, Others,Asynchronous error,Waiting for synchronization.,Device unavailable,Reload device integration,,,
40434 ,webostv, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
40408 ,gogogate2, Error handling,Insufficient error handling,Add retry & timeout setting.,Incorrect device state,Network delay,,,
40392 ,modbus, Error handling,Input verification,Check before use., ,Invoke device service,,,
40370 ,luci,Release,Forget to release resources,Correctly release the relevant resources,Unexpected system behavior,Invoke device service,,,
40363 ,kodi, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
40338 ,axis, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
40325 ,met, Error handling,Insufficient error handling,, ,Invoke device service,,,
40268 ,yeelight, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40266,google pub/sub,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
40233,solaredge, Error handling,Insufficient error handling,, ,Invoke device service,,,
40232,ping, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Incorrect device state,Network delay,,,
40225,broadlink,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable,Loading device integration,,,
40224,nightscout, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
40217,risco, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
40196,coolmasternet, Error handling,Input verification,Check before use., ,Invoke device service,,,
40192,mcp23017, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
40184,apprise,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
40134,isy994, Error handling,Incorrect response handling,, ,Invoke device service,,,
40072,rachio,Initialization,Incorrect authentication establishment, ,Device unavailable,Loading device integration,,,
40026,yandex_transport, Error handling,Incorrect error handling,, ,Network interruption and recovery,,,
40008,slack,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters., ,Loading device integration,,,
39977,nzbget,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
39976,homekit,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters.,Device unavailable,Loading device integration,,,
39968,RFXtrx,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters.,Device unavailable,Reload device integration,,,
39937,synology_dsm, Error handling,Input verification,Check before use., ,Invoke device service,,,
39935,meteo_france, Error handling,Input verification,Check before use.,Device unavailable,Invoke device service,,,
39930,vera,Initialization,Incorrect device initialization status,Correct corresponding status.,Unexpected device behavior,Invoke device service,,,
39916,homekit, Others,Asynchronous error,Waiting for synchronization., ,Loading device integration,,,
39903,homekit,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
39876,smappee,Discovery,Incorrect configuration, ,Device unavailable,Loading device integration,,,
39875,homekit, Others,Corner case,,Incorrect device state,Invoke device service,,,
39863,freebox, Error handling,Incorrect error handling,, ,Loading device integration,,,
39860,mqtt,Discovery,Incorrect configuration,Add default information to ensure normal operation.,Device unavailable,Loading device integration,,,
39848,netatmo, Error handling,Insufficient error handling,,Unexpected device behavior,Loading device integration,,,
39847,mqtt, Error handling,Insufficient error handling,Adjust retry & timeout setting., ,Network delay,,,
39827,ping, Execution,Incorrect execution status update, ,Unexpected system behavior,Network interruption and recovery,,,
39817,androidtv,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Slow response,Invoke device service,,,
39788,kodi,Release,Incorrect release,Re-release the wrong part correctly.,,Reload device integration,,,
39778,spotify, Error handling,Input verification,Check before use., ,Invoke device service,,,
39598,starline,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
39592,isy994, Others,Corner case,,Incorrect device state,Invoke device service,,,
39565,MPC-HC, Error handling,Insufficient error handling,,,Invoke device service,,,
39349,bond, Execution,Incorrect execution status update,Correct status processing logic.,Unexpected device behavior,Invoke device service,,,
39278,synology_dsm, Error handling,Insufficient error handling,Add retry & timeout setting., ,Network delay,,,
39259,MarryTTS,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
39182,onvif,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters.,,,,,
39181,mpd, Error handling,Incorrect response handling,, ,Invoke device service,,,
39116,zeroconf, Error handling,Incorrect error handling,, ,Invoke device service,,,
39099,surepetcare,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
39013,deconz, Error handling,Incorrect response handling,, ,Invoke device service,,,
39010,emulated_hue,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable,Invoke device service,,,
39007,mqtt, Others,Asynchronous error,Waiting for synchronization., ,Invoke device service,,,
39006,yandex_transport, Error handling,Incorrect response handling,, ,Invoke device service,,,
38981,zeroconf, Error handling,Incorrect response handling,, ,Invoke device service,,,
38919,speedtestdotnet,Release,Incorrect release,Re-release the wrong part correctly.,Unexpected system behavior,Reload device integration,,,
38914,yeelight, Error handling,Insufficient error handling,, ,Loading device integration,,,
38893,solaredge, Error handling,Incorrect response handling,, ,Invoke device service,,,
38889,environment_canada, Error handling,Incorrect response handling,, ,Invoke device service,,,
38885,control4, Error handling,Insufficient error handling,, ,Loading device integration,,,
38834,ovo_energy, Error handling,Insufficient error handling,, ,Loading device integration,,,
38824,ovo_energy,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
38805,ovo_energy, Error handling,Incorrect error handling,, ,Invoke device service,,,
38752,ozw,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
38708,samsungtv, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Incorrect device state,Network delay,,,
38661,mqtt, Error handling,Insufficient error handling,Add retry & timeout setting.,Device unavailable,Network delay,,,
38644,rainmachine, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Device unavailable,Network delay,,,
38607,dyson,Initialization,Incorrect authentication establishment,Provide correct authentication information.,Device unavailable,Loading device integration,,,
38544,noaa_tides, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
38512,ambient_station, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
38501,emby, Error handling,Incorrect error handling,, ,Invoke device service,,,
38493,bond,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
38455,ozw,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable,Loading device integration,,,
38393,icloud, Error handling,Incorrect response handling,, ,Invoke device service,,,
38379,gogogate2, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Incorrect device state,Network delay,,,
38375,system_log,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
38339,google_translate, Error handling,Incorrect response handling,, ,Invoke device service,,,
38321,wiffi, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
38291,blink, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
38270,somfy,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
38262,airvisual,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
38247,plex, Others,Corner case,,Device unavailable,Loading device integration,,,
38218,bond, Execution,Incorrect execution status update, ,Unexpected device behavior,Invoke device service,,,
38198,RFXtrx,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
38193,met, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
38186,RFXtrx, Execution,Incorrect execution status update,Correct status processing logic.,Incorrect device state,Invoke device service,,,
38151,ads, Error handling,Incorrect response handling,, ,Invoke device service,,,
38147,tesla, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
38136,abode,Initialization,Incorrect authentication establishment, ,Device unavailable,Loading device integration,,,
38116,toon, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Incorrect device state,Invoke device service,,,
38084,simplisafe,Initialization,Incorrect authentication establishment,Correct authentication logic.,Device unavailable,Loading device integration,,,
38080,zeroconf, Error handling,Insufficient error handling,, ,Loading device integration,,,
38058,toon,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
38024,neato, Error handling,Incorrect response handling,, ,Invoke device service,,,
38013,RFXtrx,Initialization,Incorrect device initialization status,Correct corresponding status.,Incorrect device state,Reload device integration,,,
38010,route53, Others,Dependency conflict,Choose the appropriate third-party library version.,Device unavailable,Loading device integration,,,
37971,n26, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
37969,homematicip_cloud,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
37953,hikvision,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
37943,xiaomi_aqara,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
37857,withings,Initialization,Incorrect device initialization status,"After the system restarts, the original data needs to be loaded from the cache.",Incorrect device state,Reload device integration,,,
37851,skybell,Initialization,Incorrect authentication establishment,Provide correct authentication information.,Device unavailable,Loading device integration,,,
37844,daikin, Error handling,Insufficient error handling,,Device unavailable,Loading device integration,,,
37791,zeroconf, Others,Corner case,,Device unavailable,Loading device integration,,,
37744,songpal,Discovery,Incorrect configuration item handling, ,Device unavailable,Loading device integration,,,
37714,blink, Error handling,Incorrect response handling,, ,Invoke device service,,,
37704,insteon, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Unexpected device behavior,Invoke device service,,,
37689,plex, Error handling,Insufficient error handling,, ,Loading device integration,,,
37681,toon,Initialization,Incorrect device initialization status,"After the system restarts, the original data needs to be loaded from the cache.", ,Loading device integration,,,
37662,mqtt, Others,Asynchronous error,Waiting for synchronization.,Incorrect device state,Loading device integration,,,
37661,xiaomi_aqara,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters.,Device unavailable,Loading device integration,,,
37658,speedtest,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
38604,samsungtv, Error handling,Incorrect error handling,, ,Network interruption and recovery,,,
37600,xiaomi_vacuum, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
37573,smappee,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
37568,smappee,Initialization,Incorrect authentication establishment, ,Device unavailable,Loading device integration,,,
37563,loopenergy, Others,Asynchronous error,Waiting for synchronization., ,Loading device integration,,,
37544,wemo,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
37537,isy994, Error handling,Incorrect response handling,, ,Invoke device service,,,
37522,xiaomi_miio, Error handling,Insufficient error handling,, ,Loading device integration,,,
37521,meteo_france, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
37517,hue,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
37484,denonavr,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
37466,ozw,Release,Incorrect release,Re-release the wrong part correctly.,Unexpected system behavior,Reload device integration,,,
37449,lutron_caseta, Error handling,Incorrect response handling,,Device unavailable,Invoke device service,,,
37381,speedtest,Initialization,Incorrect device initialization status,Correct corresponding status.,Device unavailable,Loading device integration,,,
37333,harmony,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
37332,ps4, Others,Corner case,,Unexpected device behavior,Invoke device service,,,
37329,upnp, Error handling,Insufficient error handling,Adjust retry & timeout setting.,Device unavailable,Network delay,,,
37328,asuswrt, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
37321,withings, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
37319,tile,Initialization,Incorrect authentication establishment,Correct authentication logic.,Device unavailable,Loading device integration,,,
37314,ecobee,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable,Invoke device service,,,
37310,synology_dsm, Error handling,Insufficient error handling,Add retry & timeout setting., ,Network delay,,,
37305,AVRI,Initialization,Incorrect task scheduling,Remove the heavy task from the event loop.,Slow response,Invoke device service,,,
37296,smappee,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
37245,rflink,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
37242,IPMA,Discovery,Generate incorrect device information,Generate unique device id,Incorrect device state,Loading device integration,,,
37210,volumio,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable,Invoke device service,,,
37209,mqtt,Release,Incorrect release,Re-release the wrong part correctly.,Unexpected system behavior,Reload device integration,,,
37203,nws, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
37193,tile, Error handling,Incorrect response handling,,,Invoke device service,,,
37173,solaredge,Initialization,Incorrect device initialization status,Correct corresponding status.,Incorrect device state,Reload device integration,,,
37165,wink,Release,Incorrect release,Re-release the wrong part correctly.,,Reload device integration,,,
37134,tile,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
37107,wake_on_lan, Error handling,Incorrect response handling,, ,Invoke device service,,,
37106,tesla,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
37099,speedtest,Discovery,Incorrect configuration item handling, ,Device unavailable,Loading device integration,,,
37083,homekit, Error handling,Incorrect response handling,, ,Invoke device service,,,
37055,broadlink,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
37048,zha,Initialization,Incorrect device initialization status,"After the system restarts, the original data needs to be loaded from the cache.",Incorrect device state,Reload device integration,,,
37044,ozw,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36999,synology,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36971,sonos,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36931,daikin, Error handling,Incorrect response handling,, ,Invoke device service,,,
36925,esphome,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
36923,yeelight, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36892,dyson,Initialization,Incorrect device initialization status,Correct corresponding status.,Incorrect device state,Loading device integration,,,
36878,plex, Error handling,Insufficient error handling,Add retry & timeout setting.,Device unavailable,Network interruption and recovery,,,
36858,axis, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Loading device integration,,,
36853,proxmoxve,Initialization,Forget to keep authentication,Add watchdog or set timer function to maintain the authentication,Device unavailable,Loading device integration,,,
36844,nuki, Error handling,Incorrect response handling,, ,Invoke device service,,,
36825,luftdaten, Error handling,Incorrect response handling,, ,Invoke device service,,,
36816,sonos, Execution,Incorrect execution status update, ,Incorrect device state,Invoke device service,,,
36793,daikin, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
36767,zha, Execution,Inappropriate polling interval,Adjust the polling interval.,Incorrect device state,Invoke device service,,,
36741,insteon,Discovery,Incorrect configuration,Add default information to ensure normal operation.,Device unavailable,Invoke device service,,,
36715,synology, Error handling,Incorrect response handling,, ,Invoke device service,,,
36711,gogogate2,Discovery,Incorrect configuration,Add default information to ensure normal operation.,Device unavailable,Loading device integration,,,
36698,upnp, Error handling,Insufficient error handling,, ,Loading device integration,,,
36687,forked_daapd,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
36678,plex,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
36675,LlamaLab, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Invoke device service,,,
36661,axis, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36641,nanoleaf, Error handling,Incorrect response handling,,                  ,Invoke device service,,,
36638,yandex_transport, Error handling,Incorrect response handling,, ,Invoke device service,,,
36635,daikin,Discovery,Incorrect configuration item handling,Correctly handle conflicting parameters.,Device unavailable,Loading device integration,,,
36634,wled, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object",Device unavailable,Loading device integration,,,
36606,withings, Error handling,Incorrect response handling,,Incorrect device state,Invoke device service,,,
36599,coronavirus, Error handling,Insufficient error handling,, ,Invoke device service,,,
36472,intesishome,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
36471,hyperion, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36466,myq, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36440,wled, Error handling,Insufficient error handling,, ,Invoke device service,,,
36435,daikin,Discovery,Generate incorrect device information,Generate unique device id,Device unavailable,Loading device integration,,,
36425,daikin, Error handling,Incorrect response handling,, ,Invoke device service,,,
36423,sonarr, Error handling,Incorrect response handling,, ,Invoke device service,,,
36422,netatmo, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36372,watson_tts, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Loading device integration,,,
36338,fitbit, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36320,daikin,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36315,ozw,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
36314,owntracks, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Loading device integration,,,
36312,forked_daapd, Others,General code error,"Fix corresponding errors, including illegal argument,
null reference, syntax error, undefined object", ,Loading device integration,,,
36279,mqtt,Release,Forget to release resources,Correctly release the relevant resources,Unexpected system behavior,Reload device integration,,,
36325,vizio,Discovery,Incorrect configuration,Correct corresponding parameters.,Device unavailable,Loading device integration,,,
36245,openweathermap, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36195,powerview, Others,Resource constraint,,Device unavailable,Frequent requests,,,
36180,broadlink,Device,Incompatible device,"The system has not supported the device yet, waiting for the development of the corresponding device-integration.",Device unavailable, ,,,
36150,withings,Initialization,Incorrect authentication establishment, ,Device unavailable,Loading device integration,,,
36135,songpal,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36133,spotify, Others,API-update-caused breakage,Fix API usage.,Device unavailable, ,,,
36118,hunter_douglas_powerview,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36106,deconz,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
36087,onvif, Error handling,Incorrect response handling,, ,Invoke device service,,,
36061,opengarage,Initialization,Incorrect task scheduling,Modify synchronous (asynchronous) tasks to asynchronous (synchronous) tasks.,Slow response,Invoke device service,,,
36035,hunter_douglas_powerview,Device,Incompatible device,Improve the existing device-integration and adapt to the incompatible modules of the device,Device unavailable, ,,,
35990,onvif, Error handling,Incorrect response handling,, ,Invoke device service,,,
